Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),P_CO2 (Pa),P_H2O (Pa),Albedo,Recirculation_Factor,Surface_Temp (K),Status
run_332,399.28150069992495,M5,6371000.0,5.972e+24,100000.0,571.9285160179343,1544.0113162868856,0.25006722159384687,0.666,264.345,Success
run_333,590.1147590309286,M5,6371000.0,5.972e+24,100000.0,33.47289453163508,84298.13741767583,0.48653727726513785,0.666,296.468,Success
run_335,1897.9845323865204,M5,6371000.0,5.972e+24,100000.0,0.3396509473612822,2717.863926603951,0.18095585226475483,0.666,391.112,Success
run_336,1291.8116670332558,M5,6371000.0,5.972e+24,100000.0,1048.7278875474742,1.7094012568667112,0.2150956636074011,0.666,352.857,Success
run_334,1892.8853111636927,M5,6371000.0,5.972e+24,100000.0,165.1009553600634,1291.21631405668,0.19113149435350213,0.666,390.582,Success
run_337,1974.3337409035476,M5,6371000.0,5.972e+24,100000.0,3332.004430193274,881.1101610818366,0.09453767748649161,0.666,397.177,Success
run_338,543.6920035206201,M5,6371000.0,5.972e+24,100000.0,22.501134273140554,143.2171326517175,0.29673249882261254,0.666,283.194,Success
run_339,1473.5844220318904,M5,6371000.0,5.972e+24,100000.0,4.216908651714143,71.26855507038096,0.03636414506840542,0.666,363.938,Success
run_340,1970.2959193018619,M5,6371000.0,5.972e+24,100000.0,222.57575314296935,466.86753422065203,0.2178744381016825,0.666,392.904,Success
run_341,325.4919493382306,M5,6371000.0,5.972e+24,100000.0,1144.3896536639631,33114.37745870475,0.31855384173536067,0.666,257.125,Success
run_342,1003.9187847111881,M5,6371000.0,5.972e+24,100000.0,456.76901203101954,0.13191189976797046,0.1367612211660486,0.666,330.952,Success
run_343,743.9962606305227,M5,6371000.0,5.972e+24,100000.0,280.0668607018351,26.11181157342786,0.49964219272631416,0.666,305.122,Success
run_346,1644.3596618126653,M5,6371000.0,5.972e+24,100000.0,0.3854525555216134,0.6641764920140945,0.15375808808183603,0.666,372.93,Success
run_344,725.6852457402772,M5,6371000.0,5.972e+24,100000.0,546.8659853985196,236.0357388047091,0.34788718740344865,0.666,304.602,Success
run_345,931.1597702945165,M5,6371000.0,5.972e+24,100000.0,4469.882468918358,6810.8912993046015,0.13633567320298437,0.666,332.987,Success
run_347,271.6266079638993,M5,6371000.0,5.972e+24,100000.0,0.9100842898773394,188.73999418866194,0.013663174706177166,0.666,238.903,Success
run_350,2025.8875392101768,M5,6371000.0,5.972e+24,100000.0,0.18412867936946523,0.28198148669927675,0.3411710177132076,0.666,392.787,Success
run_349,1698.0185877372683,M5,6371000.0,5.972e+24,100000.0,1.1903116264461155,192.8064313549064,0.026309216016399645,0.666,377.589,Success
run_348,1870.1821006323821,M5,6371000.0,5.972e+24,100000.0,17.53687152824317,46.95390777141515,0.47179630580578974,0.666,384.662,Success
run_351,1179.3061157633515,M5,6371000.0,5.972e+24,100000.0,5.502750537106329,1459.9724187003465,0.39191144258559946,0.666,344.245,Success
run_352,569.576797987252,M5,6371000.0,5.972e+24,100000.0,53588.428654284784,45.799084550584205,0.2979553940927713,0.666,291.651,Success
run_353,898.8047673405863,M5,6371000.0,5.972e+24,100000.0,96.5854853559784,0.14659580502560993,0.308005146003962,0.666,320.899,Success
run_354,1806.8453861525923,M5,6371000.0,5.972e+24,100000.0,0.6267739159793264,8242.42306285606,0.4307569675991365,0.666,385.399,Success
run_355,340.92442122581554,M5,6371000.0,5.972e+24,100000.0,1697.676062935629,4.514473010813315,0.49274310685999845,0.666,251.608,Success
run_356,974.4420576586213,M5,6371000.0,5.972e+24,100000.0,5009.460778811594,6159.008882015369,0.15156130858323108,0.666,336.354,Success
run_358,1400.6210127400134,M5,6371000.0,5.972e+24,100000.0,0.3920280464441815,36.09274117133297,0.2506443125512365,0.666,358.528,Success
run_357,147.3325464553535,M5,6371000.0,5.972e+24,100000.0,13444.01238743937,50.04057621353494,0.10789726897805715,0.666,207.126,Success
run_359,940.6226528053498,M5,6371000.0,5.972e+24,100000.0,5855.782253078447,588.4123572627442,0.23016387772591226,0.666,328.646,Success
run_360,1831.5014244197885,M5,6371000.0,5.972e+24,100000.0,199.96210788223866,13.142008442713406,0.09135726372900725,0.666,384.657,Success
run_361,636.6026602568465,M5,6371000.0,5.972e+24,100000.0,64.68566591845216,37167.38500329527,0.3566679457047364,0.666,302.043,Success
run_362,1088.9815111699725,M5,6371000.0,5.972e+24,100000.0,73.01558714016896,9535.462408083067,0.42652009533385943,0.666,340.057,Success
run_363,719.6457531741763,M5,6371000.0,5.972e+24,100000.0,17332.140537908006,615.680775305325,0.47426805582865034,0.666,304.978,Success
run_364,179.3001296292598,M5,6371000.0,5.972e+24,100000.0,8743.868772273345,35070.56293772113,0.14624377008413977,0.666,225.919,Success
run_365,418.8267140885505,M5,6371000.0,5.972e+24,100000.0,0.29338145607490557,20238.589390089815,0.21681012316096399,0.666,271.764,Success
run_367,624.6003455885581,M5,6371000.0,5.972e+24,100000.0,48.72481175374367,3.9517076396308206,0.2745163880518775,0.666,293.009,Success
run_366,567.3798726715752,M5,6371000.0,5.972e+24,100000.0,19268.32835410959,0.48082022340946096,0.4468209225889491,0.666,288.509,Success
run_369,214.41225996704554,M5,6371000.0,5.972e+24,100000.0,22130.79455441384,19.949839577851588,0.0007927289265836899,0.666,228.379,Success
run_368,1667.0847835642505,M5,6371000.0,5.972e+24,100000.0,1806.3270663998267,0.12005868108480197,0.46978936482615696,0.666,374.199,Success
run_370,1206.4038970668987,M5,6371000.0,5.972e+24,100000.0,13.004880680103724,1.5764626803046133,0.470851968842301,0.666,344.911,Success
run_371,1909.2797173676777,M5,6371000.0,5.972e+24,100000.0,4.283465700974108,23.185723766831877,0.35726589632612027,0.666,387.208,Success
run_372,185.13903930839567,M5,6371000.0,5.972e+24,100000.0,89564.66906256955,18.0314246746663,0.32152190249858914,0.666,219.981,Success
run_373,1515.0570695915412,M5,6371000.0,5.972e+24,100000.0,2008.624202259407,8.10936432727403,0.1194059156589615,0.666,368.562,Success
run_374,873.5293570519117,M5,6371000.0,5.972e+24,100000.0,0.247177492849014,0.41960160710231037,0.15346501420588735,0.666,318.342,Success
run_377,474.3792313163169,M5,6371000.0,5.972e+24,100000.0,70.55287003912541,0.6826838529225433,0.4464514691457242,0.666,273.196,Success
run_376,1205.6241104090768,M5,6371000.0,5.972e+24,100000.0,2.567557524292657,14580.429369566833,0.4845582365443505,0.666,348.559,Success
run_375,1305.474230188294,M5,6371000.0,5.972e+24,100000.0,0.4562987091209683,2343.1367566057406,0.35855275221171007,0.666,354.056,Success
run_379,1352.6634192914403,M5,6371000.0,5.972e+24,100000.0,10194.455180261091,64.46373252564204,0.1314960923155608,0.666,360.869,Success
run_380,1722.1597248974156,M5,6371000.0,5.972e+24,100000.0,0.1353417795925707,0.8097424358702394,0.029159144666655416,0.666,377.295,Success
run_378,149.69000376705552,M5,6371000.0,5.972e+24,100000.0,31911.78257745557,253.86841034322663,0.14847642792270035,0.666,208.878,Success
run_381,229.1935388148716,M5,6371000.0,5.972e+24,100000.0,19803.421464408068,10121.521919097484,0.1269148902210441,0.666,236.535,Success
run_382,1553.6107542603552,M5,6371000.0,5.972e+24,100000.0,20.185068414987338,43057.39653869491,0.1568077898837352,0.666,382.247,Success
run_383,1135.017942290332,M5,6371000.0,5.972e+24,100000.0,29.215012055015375,2121.889048157216,0.491060118904263,0.666,339.729,Success
run_384,1605.6178840757418,M5,6371000.0,5.972e+24,100000.0,1.4041013670987803,21993.783543923866,0.49019110041213443,0.666,375.591,Success
run_386,1757.372473020098,M5,6371000.0,5.972e+24,100000.0,1.1387498824748823,0.14518508244520797,0.1251650916306391,0.666,379.168,Success
run_387,297.1495585417312,M5,6371000.0,5.972e+24,100000.0,1.2167303516429968,0.6050895049281795,0.20233287376827586,0.666,243.153,Success
run_385,750.5894904234739,M5,6371000.0,5.972e+24,100000.0,275.2624933152737,1.2653334678759038,0.07401414588109383,0.666,307.651,Success
run_388,1739.8318025358728,M5,6371000.0,5.972e+24,100000.0,1490.6508001947202,0.6410374623442623,0.03280483230429036,0.666,381.464,Success
run_390,554.6264932231948,M5,6371000.0,5.972e+24,100000.0,19.53670088453027,3118.1115631524754,0.10347757413464151,0.666,288.445,Success
run_391,1612.9419046246726,M5,6371000.0,5.972e+24,100000.0,75.38206353142917,169.40070991996726,0.10181424057870427,0.666,373.156,Success
run_389,1696.4635983417033,M5,6371000.0,5.972e+24,100000.0,420.7227688015173,29804.318893725787,0.4430210759334083,0.666,384.027,Success
run_392,1471.0269074494552,M5,6371000.0,5.972e+24,100000.0,0.1251854637104801,214.37918809851627,0.36663743924007547,0.666,362.884,Success
run_393,267.2218277046957,M5,6371000.0,5.972e+24,100000.0,63.20560241590782,0.17858176881009305,0.25506532947398886,0.666,237.0,Success
run_394,460.8324105766136,M5,6371000.0,5.972e+24,100000.0,20447.50362657528,6923.830561821154,0.09914034018174814,0.666,280.921,Success
run_397,633.1043208678733,M5,6371000.0,5.972e+24,100000.0,16.180923601142915,100.24034646959464,0.4018097287602775,0.666,293.584,Success
run_396,1210.906790598448,M5,6371000.0,5.972e+24,100000.0,13994.330285273347,3.47613831918273,0.18960218418181524,0.666,350.731,Success
run_395,1945.5690473512825,M5,6371000.0,5.972e+24,100000.0,117.65558168408992,9240.469508708884,0.06998113550849712,0.666,399.947,Success
run_398,580.9654644531989,M5,6371000.0,5.972e+24,100000.0,0.24527465636669407,13867.027501084012,0.44417517246548355,0.666,290.979,Success
run_399,854.9090363987704,M5,6371000.0,5.972e+24,100000.0,0.2192661618923961,31.837097752614007,0.061715833475085795,0.666,317.107,Success
run_400,1753.9824256721013,M5,6371000.0,5.972e+24,100000.0,94948.099949063,11.983796122649892,0.15203790722996172,0.666,389.186,Success
run_401,1257.790988689404,M5,6371000.0,5.972e+24,100000.0,7863.604450544676,25.184000314023894,0.3837035136408619,0.666,351.311,Success
run_402,685.2826489444989,M5,6371000.0,5.972e+24,100000.0,15198.95010020112,739.3479502771179,0.4990737211446113,0.666,300.525,Success
run_403,1504.667634817161,M5,6371000.0,5.972e+24,100000.0,8108.519844894622,0.1120819632500464,0.053716804001638474,0.666,370.152,Success
