Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Surface_Temp (K),Status
run_586,1947.8353550205827,G2,6371000.0,5.972e+24,559310.4093630568,0.42741666494608616,0.0011016280226890164,0.20604936790127046,0.25,320.796,Success
run_587,2646.772307007432,G2,6371000.0,5.972e+24,156238.0097778711,0.000271780091456004,0.010732306620565782,0.07413364521073187,0.25,334.926,Success
run_589,1614.6534823993136,G2,6371000.0,5.972e+24,15448.700858399468,0.2347832979436062,3.556898130604486e-05,0.07621406737355757,0.25,292.212,Success
run_588,955.0555566053744,G2,6371000.0,5.972e+24,52555.85463950976,0.08417184598376555,0.0002132961730957452,0.22854964718078954,0.25,256.771,Success
run_591,1139.4024507778254,G2,6371000.0,5.972e+24,44025.05288809005,0.00844114077258349,9.122684422095043e-05,0.42596565901258204,0.25,266.199,Success
run_590,1114.567360195661,G2,6371000.0,5.972e+24,462803.6171145594,3.6567301086113355e-06,3.293423664879559e-05,0.2880726001728506,0.25,265.001,Success
run_593,2013.4836154955567,G2,6371000.0,5.972e+24,26128.580942559074,0.056559360105393676,2.0032025419792204e-06,0.21142013346230673,0.25,308.058,Success
run_592,624.8723020324402,G2,6371000.0,5.972e+24,18442.42169588142,2.346579304627454e-05,0.015899432738056843,0.38532887064492277,0.25,228.815,Success
run_594,1772.4185029248833,G2,6371000.0,5.972e+24,367300.16174442176,0.8244799657928461,0.09780976591475625,0.09219112977565523,0.25,330.025,Success
run_595,980.9394754057927,G2,6371000.0,5.972e+24,89535.7213082949,0.1808089560912271,0.1027212759697401,0.2390359623447274,0.25,263.913,Success
run_596,1339.4334520757611,G2,6371000.0,5.972e+24,33194.38744551668,1.0155029541310724e-06,0.09417974926814059,0.38607699969669196,0.25,277.093,Success
run_597,2537.8939472520924,G2,6371000.0,5.972e+24,437933.3720550756,2.005046075285663e-05,7.336448231125899e-05,0.25080823561327936,0.25,326.128,Success
run_599,2441.0312521390224,G2,6371000.0,5.972e+24,120575.29275866087,4.330850497328555e-06,0.00022703851213624473,0.2709696393388119,0.25,322.362,Success
run_598,1480.2898222691122,G2,6371000.0,5.972e+24,244125.48785927173,0.001568318381480937,9.788777401656861e-06,0.3640794110169121,0.25,284.833,Success
run_600,2256.4246453265323,G2,6371000.0,5.972e+24,31759.364698215006,0.0006101440869997619,0.025778181122559574,0.3279699986448491,0.25,316.249,Success
run_601,2638.824934008438,G2,6371000.0,5.972e+24,17697.260526595874,4.122109602443822e-05,0.004805032803503839,0.21270326068918088,0.25,328.752,Success
run_602,1610.6772901629447,G2,6371000.0,5.972e+24,42451.541139922825,0.00020444283060858394,0.1326978523756984,0.3694297221793875,0.25,291.209,Success
run_603,210.42095876752546,G2,6371000.0,5.972e+24,97049.9533990595,0.02347531416368488,0.0022926254325456043,0.16280400506255083,0.25,176.374,Success
run_605,1083.7277219965474,G2,6371000.0,5.972e+24,446019.0645604418,0.6895814128815311,4.939917745296288e-06,0.43153368073373055,0.25,271.532,Success
run_604,1737.5655214369224,G2,6371000.0,5.972e+24,756983.0726487723,9.662204195582842e-05,0.009372899728588494,0.22666333261299113,0.25,309.718,Success
run_606,2019.55895039063,G2,6371000.0,5.972e+24,150213.65027192506,0.07507020695734663,1.6339505037667622e-06,0.3699712947412904,0.25,310.61,Success
run_607,2150.8988500886658,G2,6371000.0,5.972e+24,53584.205415704106,0.0001622212225349646,0.0023543397706178217,0.3123590234953435,0.25,312.328,Success
run_608,761.2018496952927,G2,6371000.0,5.972e+24,17309.64706443738,3.154028382273594e-06,7.74777749221097e-05,0.11386072820335381,0.25,240.751,Success
run_609,316.6100837493716,G2,6371000.0,5.972e+24,11283.83682335616,0.6632162073220276,0.01818565750952246,0.24805867931898426,0.25,194.234,Success
run_610,1993.9024814117647,G2,6371000.0,5.972e+24,73446.02051296752,0.012057138360312957,4.369183601158732e-06,0.29509650682166233,0.25,307.13,Success
run_611,985.7437226949442,G2,6371000.0,5.972e+24,929146.9261586176,2.3280309316249762e-05,0.5596400291791613,0.052276891546519044,0.25,297.396,Success
run_612,1517.9050034379134,G2,6371000.0,5.972e+24,228050.98428799293,0.00042719692271783293,0.41385147556886415,0.3405836632455654,0.25,302.125,Success
run_613,1268.9378914241795,G2,6371000.0,5.972e+24,352154.59688236885,2.1768755274428273e-06,8.19831622153266e-05,0.4380385447808474,0.25,272.821,Success
run_614,777.7429899610539,G2,6371000.0,5.972e+24,13605.241072957539,0.0037641510954385593,0.004926248824247479,0.04331347728148453,0.25,242.461,Success
run_615,261.81254776740064,G2,6371000.0,5.972e+24,70639.48663216828,0.02933354528316742,9.394953688626853e-05,0.2934455964581918,0.25,185.241,Success
run_617,666.3156280398439,G2,6371000.0,5.972e+24,812791.0463308403,1.4276654955002841e-06,1.9442265159926926e-06,0.11606068785279464,0.25,233.192,Success
run_616,999.5254833812189,G2,6371000.0,5.972e+24,609667.484302392,0.009079453430499445,5.019823240882923e-05,0.49839566209612013,0.25,258.959,Success
run_618,825.1983962613085,G2,6371000.0,5.972e+24,75445.42425081402,0.00010560592446137918,2.3068457594514127e-05,0.036137329860564775,0.25,245.872,Success
run_619,2403.2487831605854,G2,6371000.0,5.972e+24,33774.66523366141,0.06447359426296526,0.007962039868472364,0.2199697496090972,0.25,322.77,Success
run_620,1532.4478278346846,G2,6371000.0,5.972e+24,49444.68696942418,0.0315915835323547,0.037485873394954315,0.3072393243061648,0.25,288.42,Success
run_621,2186.0671592050517,G2,6371000.0,5.972e+24,43132.63423934743,0.5933844812964734,0.0006950719100815281,0.05356980079055998,0.25,319.264,Success
run_622,1601.1022507211085,G2,6371000.0,5.972e+24,257695.39123373743,9.910428512622315e-05,0.019711496628826434,0.3168244246273298,0.25,295.114,Success
run_623,746.2249683626226,G2,6371000.0,5.972e+24,631554.1428650033,0.0013520233426733814,0.15423418970140967,0.47815995644641207,0.25,255.537,Success
run_625,1353.073306433282,G2,6371000.0,5.972e+24,12331.66060724357,0.012693953726578562,0.0005437035897818713,0.12130559481730609,0.25,278.33,Success
run_624,594.0723796737418,G2,6371000.0,5.972e+24,272529.46721392695,0.006168559127710295,0.005630718838115899,0.017584034881807042,0.25,233.7,Success
run_626,1185.475575046356,G2,6371000.0,5.972e+24,46809.07823125864,0.053487893100696196,5.122087187134839e-06,0.4754835309754052,0.25,268.794,Success
run_627,1374.6849166648758,G2,6371000.0,5.972e+24,119006.57326238099,0.0012622955674902701,0.004472760503503995,0.4769151896714632,0.25,277.373,Success
